YYMMMDD,u0(m),____up(m),sig_u(m)
00OCT25,783,0.016085,0.002303
00OCT26,783,0.030347,0.002409
00OCT27,783,0.032238,0.002492
00OCT28,783,0.028286,0.002295
00OCT29,783,0.02052,0.002323
00OCT30,783,0.021844,0.002384
00OCT31,783,0.01127,0.002414
00NOV02,783,0.045165,0.002461
00NOV03,783,0.029313,0.002324
00NOV04,783,0.027453,0.002311
00NOV05,783,0.008955,0.002285
00NOV06,783,0.018207,0.002372
00NOV07,783,0.01439,0.002323
00NOV08,783,0.02823,0.002272
00NOV09,783,0.004593,0.002277
00NOV10,783,0.012858,0.002507
00NOV11,783,0.022452,0.002309
00NOV12,783,0.019603,0.002314
00NOV13,783,0.007986,0.002394
00NOV14,783,0.015216,0.002455
00NOV15,783,0.014565,0.002291
00NOV16,783,0.0295,0.002346
00NOV17,783,0.008885,0.002329
00NOV18,783,0.015624,0.002327
00NOV19,783,-0.002,0.002339
00NOV20,783,0.006479,0.002279
00NOV21,783,0.009872,0.002304
00NOV22,783,0.023951,0.002323
00NOV23,783,0.008814,0.002377
00NOV30,783,0.016375,0.002314
00DEC01,783,0.023778,0.002318
00DEC02,783,0.007086,0.00257
00DEC03,783,0.017889,0.002373
00DEC04,783,0.020743,0.002482
00DEC05,783,0.018893,0.002352
00DEC06,783,0.014382,0.002339
00DEC07,783,0.022513,0.002384
00DEC08,783,0.013425,0.002336
00DEC09,783,0.022873,0.002277
00DEC10,783,0.019281,0.002343
00DEC11,783,0.02564,0.002393
00DEC12,783,0.019891,0.002329
00DEC13,783,0.016509,0.002294
00DEC14,783,0.02119,0.002282
00DEC15,783,0.019906,0.002253
00DEC16,783,0.009971,0.002333
00DEC17,783,0.022521,0.002263
00DEC18,783,0.023658,0.002294
00DEC19,783,0.021677,0.0024
00DEC20,783,0.027808,0.002298
00DEC21,783,0.017704,0.002343
00DEC22,783,0.002196,0.002263
00DEC23,783,0.015952,0.002282
00DEC24,783,0.022448,0.002246
00DEC25,783,0.018535,0.002323
00DEC26,783,0.021034,0.002243
00DEC27,783,0.026492,0.002308
00DEC28,783,0.016492,0.002305
00DEC29,783,0.023739,0.002198
00DEC30,783,0.023849,0.002231
00DEC31,783,0.023053,0.002231
1-Jan-01,783,0.025112,0.002283
1-Jan-02,783,0.027248,0.002223
1-Jan-03,783,0.035722,0.002272
1-Jan-04,783,0.028171,0.002378
1-Jan-05,783,0.025644,0.002323
1-Jan-06,783,0.019548,0.002324
1-Jan-07,783,0.019647,0.002202
1-Jan-08,783,0.019704,0.002261
1-Jan-09,783,0.023564,0.002241
1-Jan-10,783,0.023953,0.002289
1-Jan-11,783,0.03018,0.002246
1-Jan-12,783,0.025273,0.002243
1-Jan-13,783,0.02758,0.002298
1-Jan-14,783,0.030117,0.002238
1-Jan-15,783,0.035559,0.002223
1-Jan-16,783,0.028579,0.002204
1-Jan-17,783,0.032253,0.002268
1-Jan-18,783,0.022036,0.002241
1-Jan-19,783,0.024253,0.002314
1-Jan-20,783,0.011308,0.002229
1-Jan-21,783,0.030148,0.002216
1-Jan-22,783,0.010234,0.002254
1-Jan-23,783,0.025828,0.002401
1-Jan-24,783,0.027797,0.002273
1-Jan-25,783,0.029324,0.002248
1-Jan-26,783,0.018239,0.002301
1-Jan-27,783,0.014379,0.002243
1-Jan-28,783,0.022406,0.002259
1-Jan-29,783,0.019621,0.002223
1-Jan-30,783,0.034563,0.002233
1-Jan-31,783,0.022633,0.00237
1-Feb-01,783,0.025476,0.002246
1-Feb-02,783,0.035881,0.0023
1-Feb-03,783,0.023065,0.00225
1-Feb-04,783,0.038813,0.002348
1-Feb-05,783,0.036193,0.002296
1-Feb-06,783,0.034292,0.0023
1-Feb-07,783,0.036551,0.002198
1-Feb-08,783,0.027713,0.002399
1-Feb-09,783,0.049871,0.002457
1-Feb-10,783,0.027666,0.002326
1-Feb-11,783,0.047301,0.002471
1-Feb-12,783,0.025636,0.002459
1-Feb-13,783,0.03219,0.002283
1-Feb-14,783,0.022652,0.002268
1-Feb-15,783,0.021225,0.002349
1-Feb-16,783,0.008701,0.002236
1-Feb-17,783,0.01641,0.002312
1-Feb-18,783,0.037729,0.002335
