"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-25",,,"2.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-26",,,"10.4","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-27",,,"37.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-28",,,"32.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-29",,,"121.9","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-11-30",,,"72.4","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-01",,,"2.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-02",,,"5.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-03",,,"10.7","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-04",,,,"0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-05","    2","17.0",,"0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-06",,,,"0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-07","    2","8.4",,"0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-08",,,"17.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-09",,,"22.6","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-10",,,"10.2","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-11",,,"18.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-12",,,"5.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-13",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-14",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-15",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-16",,,"29.7","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-17",,,"4.1","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-18",,,"2.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-19",,,"6.1","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-20",,,"6.9","0.0","0.0"
