YYMMMDD,u0(m),____up(m),sig_u(m)
00FEB17,1104,0.814157,0.002381
00FEB19,1104,0.805509,0.00235
00FEB20,1104,0.807937,0.002444
00FEB21,1104,0.801772,0.002433
00FEB22,1104,0.8004,0.002478
00FEB23,1104,0.811612,0.002523
00FEB24,1104,0.806657,0.003276
00FEB25,1104,0.809192,0.002407
00FEB26,1104,0.812487,0.002456
00FEB27,1104,0.799692,0.002497
00FEB28,1104,0.800029,0.00253
00FEB29,1104,0.804786,0.00255
00MAR01,1104,0.807575,0.002571
00MAR02,1104,0.813665,0.00252
00MAR03,1104,0.803921,0.002557
00MAR04,1104,0.80603,0.00262
00MAR05,1104,0.80901,0.002449
00MAR06,1104,0.810231,0.002551
00MAR07,1104,0.807057,0.002466
00MAR08,1104,0.808567,0.002563
00MAR09,1104,0.807166,0.002612
00MAR10,1104,0.807374,0.002627
00MAR12,1104,0.804433,0.002607
00MAR13,1104,0.81297,0.00259
00MAR14,1104,0.803358,0.002578
00MAR15,1104,0.812503,0.002708
00MAR17,1104,0.804272,0.002618
00MAR18,1104,0.795079,0.002741
00MAR19,1104,0.802616,0.002623
00MAR20,1104,0.805484,0.00273
00MAR21,1104,0.805193,0.002709
00MAR22,1104,0.802386,0.002609
00MAR23,1104,0.786034,0.002693
00MAR24,1104,0.791927,0.002717
00MAR25,1104,0.788164,0.002507
00MAR26,1104,0.804427,0.002776
00MAR27,1104,0.802211,0.002731
00MAR28,1104,0.792323,0.002575
00MAR29,1104,0.803343,0.002599
00MAR30,1104,0.808572,0.002558
00MAR31,1104,0.808028,0.00271
00APR01,1104,0.80403,0.002646
00APR02,1104,0.793866,0.002549
00APR03,1104,0.802158,0.002489
00APR04,1104,0.789523,0.002452
00APR05,1104,0.803024,0.002442
00APR06,1104,0.797923,0.002465
00APR07,1104,0.796444,0.002426
00APR08,1104,0.801159,0.002479
00APR09,1104,0.811308,0.002476
00APR10,1104,0.80584,0.002429
00APR11,1104,0.803253,0.002433
00APR12,1104,0.818625,0.00248
00APR13,1104,0.802938,0.002427
00APR14,1104,0.798869,0.002489
00APR15,1104,0.800393,0.002499
00APR16,1104,0.803331,0.002515
00APR17,1104,0.795217,0.002444
00APR18,1104,0.800336,0.002465
00APR19,1104,0.807527,0.002516
00APR20,1104,0.803177,0.002446
00APR21,1104,0.798428,0.0026
00APR22,1104,0.801037,0.002564
00APR23,1104,0.798629,0.00257
00APR24,1104,0.797271,0.002615
00APR25,1104,0.788557,0.002512
00APR26,1104,0.787465,0.002785
00APR27,1104,0.802455,0.002458
00APR28,1104,0.791497,0.002473
00APR29,1104,0.800147,0.002472
00APR30,1104,0.791242,0.002445
00MAY01,1104,0.799144,0.002379
00MAY02,1104,0.79356,0.002559
00MAY03,1104,0.795951,0.002686
00MAY04,1104,0.794319,0.002444
00MAY05,1104,0.795189,0.002563
00MAY06,1104,0.798774,0.002545
00MAY07,1104,0.805633,0.002566
00MAY08,1104,0.80108,0.002557
00MAY09,1104,0.79324,0.002465
00MAY10,1104,0.799288,0.002553
00MAY11,1104,0.807502,0.002763
00MAY12,1104,0.791541,0.002405
00MAY13,1104,0.791938,0.002489
00MAY14,1104,0.79585,0.002613
00MAY15,1104,0.80514,0.002443
00MAY16,1104,0.797127,0.002369
00MAY17,1104,0.795542,0.002369
00MAY18,1104,0.800712,0.002399
00MAY19,1104,0.789644,0.002389
00MAY20,1104,0.789002,0.002443
00MAY21,1104,0.793574,0.002515
00MAY22,1104,0.795527,0.002481
00MAY23,1104,0.787101,0.002607
00MAY24,1104,0.795071,0.002597
00MAY25,1104,0.782918,0.00256
00MAY26,1104,0.791642,0.002464
00MAY28,1104,0.795878,0.002525
00MAY29,1104,0.789464,0.002576
00MAY30,1104,0.780076,0.002478
00MAY31,1104,0.799572,0.002518
00JUN01,1104,0.788942,0.002346
00JUN02,1104,0.784345,0.002473
00JUN03,1104,0.797225,0.002595
00JUN04,1104,0.788419,0.002596
00JUN05,1104,0.779828,0.002606
00JUN06,1104,0.788001,0.002672
00JUN07,1104,0.781363,0.002699
00JUN08,1104,0.785181,0.002536
00JUN09,1104,0.768382,0.00256
00JUN10,1104,0.788595,0.002398
00JUN11,1104,0.78895,0.00251
00JUN12,1104,0.787811,0.002611
00JUN13,1104,0.776316,0.002534
00JUN14,1104,0.795189,0.002445
00JUN15,1104,0.786155,0.002488
00JUN16,1104,0.779172,0.00249
00JUN17,1104,0.788104,0.002547
00JUN18,1104,0.790616,0.002808
00JUN19,1104,0.788485,0.002766
00JUN21,1104,0.784827,0.002675
00JUN22,1104,0.786456,0.002723
00JUN23,1104,0.780691,0.002555
00JUN24,1104,0.78204,0.002578
00JUN25,1104,0.786296,0.002678
00JUN26,1104,0.771943,0.002729
00JUN27,1104,0.783208,0.0025
00JUN28,1104,0.785964,0.002541
00JUN29,1104,0.788171,0.002492
00JUN30,1104,0.7912,0.002612
00JUL01,1104,0.783574,0.002826
00JUL02,1104,0.775872,0.002588
00JUL03,1104,0.79347,0.002671
00JUL04,1104,0.77654,0.002638
00JUL05,1104,0.778935,0.002681
00JUL06,1104,0.788819,0.002766
00JUL07,1104,0.778461,0.002569
00JUL08,1104,0.786582,0.002641
00JUL09,1104,0.772915,0.002929
00JUL10,1104,0.777266,0.00274
00JUL11,1104,0.787362,0.002627
00JUL12,1104,0.781735,0.002534
00JUL13,1104,0.783263,0.002701
00JUL14,1104,0.766425,0.0026
00JUL15,1104,0.782073,0.002636
00JUL16,1104,0.779601,0.002543
00JUL17,1104,0.782739,0.002656
00JUL18,1104,0.781508,0.002638
00JUL19,1104,0.775874,0.002776
00JUL20,1104,0.769424,0.002658
00JUL21,1104,0.778221,0.002794
00JUL22,1104,0.777133,0.002698
00JUL23,1104,0.771254,0.002714
00JUL24,1104,0.770977,0.002643
00JUL25,1104,0.763469,0.002819
00JUL26,1104,0.773826,0.002771
00JUL27,1104,0.772929,0.002709
00JUL28,1104,0.785674,0.002857
